X	ASSEMBLE_SYSTEM	SOLVE_SYSTEM	TOTAL	TOTAL_STD	UPDATE_FIBERS	UPDATE_VELOCITIES
32	0.03816666671385368	0.001861111173639074	0.06008333350635237	0.0014240009074230427	0.00650000007590279	0.012888888931936687
64	0.07761111110448837	0.005000000091968104	0.12394444540970856	0.004100085887752063	0.00747222231519926	0.03330555578900708
96	0.12849999964237213	0.0063888889530466664	0.19874999961919254	0.0023136285150820372	0.00644444453711104	0.05697222250617213
100	0.13836111086938116	0.004861111122105892	0.21455555491977268	0.004092551092645983	0.006472222258000531	0.06469444475240177
128	0.20769444190793568	0.006416666748312612	0.3043611099322637	0.004403868271877125	0.0016944444925886476	0.0884722216675679
160	0.32033333016766447	0.010750000093442699	0.4471944446365039	0.003376723791974175	0.0008611111390766585	0.11519444506201479
192	0.45930555545621443	0.011166666763731174	0.6128611134158239	0.005551381191493966	0.0002777777877377553	0.1420000000960297
200	0.4987777810957697	0.015138889042039713	0.6687222239043977	0.0048266256124424155	0.00013888889548575715	0.15449999852312934
224	0.6285833319028218	0.01858333340432081	0.8254166692495346	0.0031076359310568537	2.777777909715143e-05	0.17808333287636438
256	0.8341111044089	0.0771666666906741	1.1289444499545627	0.03552783490904948	0.00044444445908690494	0.21716666594147682
