X	SINGLE_AVG_TIME	MULTI_AVG_TIME
32	0.10788889022337067	0.013486111277921334
64	0.44922222528192735	0.05615277816024092
96	1.0556666718588934	0.13195833398236168
100	1.1527777777777777	0.1440972222222222
128	1.9598888887299433	0.2449861110912429
160	3.212277796533373	0.4015347245666716
192	4.8078888522254095	0.6009861065281762
200	5.244833283954197	0.6556041604942746
224	6.875888930426704	0.859486116303338
256	9.139722294277615	1.1424652867847018
288	11.900055567423504	1.487506945927938
300	13.185111151801216	1.648138893975152
320	14.903055349985758	1.8628819187482197
352	18.52777777777778	2.3159722222222223
384	21.964555528428818	2.7455694410536022
400	23.91622214847141	2.989527768558926
416	26.328944312201607	3.291118039025201
448	31.097111172146267	3.8871388965182834
480	36.24116643269857	4.530145804087321
500	47.86605474683974	5.983256843354967
512	44.54438930087619	5.568048662609524
544	54.85050053066678	6.856312566333347
576	65.71649975246854	8.214562469058567
600	71.63999981350369	8.954999976687962
608	77.18194495307074	9.647743119133843
640	70.70988845825195	8.838736057281494
672	73.66944419013129	9.20868052376641
700	116.80816650390625	14.601020812988281
704	80.98383331298828	10.122979164123535
736	124.66305626763238	15.582882033454048
