Name,Date,Single,Double,alignment
Pentium 4,2003-01-27,11.4333539920353,1.85754244066447,270
,2006-01-07,49.7366001975206,21.0091655434071,270
Harpertown,2007-11-11,97.6156579543767,49.7366001975206,90
,2008-11-11,107.191469505748,49.7366001975206,90
Westmere,2010-01-01,155.070527262604,78.4640348516341,90
Sandy Bridge,2012-01-01,423.193250700998,212.525396570831,90
Ivy Bridge,2013-01-01,672.164351036648,337.010946738656,90
