Concentration,Distance,Average,Std
50,0.02,373,431
25,0.04,37,2
12.5,0.08,20,1
6.25,0.16,12,1
3.125,0.32,7,0
1.5625,0.64,4,0
0.78125,1.28,3,0
0.390625,2.56,2,0
0.1953125,5.12,2,0
0.09765625,10.24,2,0
0.048828125,20.48,1,0
0.024414063,40.96,1,0
