Density	Average	Std
0.01	1000	0
0.02	373	431
0.04	37	2
0.08	20	1
0.16	12	1
0.32	7	0
0.64	4	0
1.28	3	0
2.56	2	0
5.12	2	0
10.24	2	0
20.48	1	0
40.96	1	0
81.92	1	0
163.84	1	0
327.68	1	0
655.36	1	0
