Concentration,Distance,Break
12.5,0.08,121
6.25,0.16,342
3.125,0.32,377
2.5,0.4,444
1.5625,0.64,562
1.041666667,0.96,656
0.78125,1.28,795
0.520833333,1.92,1122
0.390625,2.56,1481
