Name,Date,Double,alignment
Tesla C1060,2008-06-01,88.039846403005,-45
Tesla C2050,2009-11-01,518.951366214709,315
Tesla M2090,2011-05-01,662.588539485278,315
Tesla K20X,2012-11-01,1313.74372497852,315
Tesla K40,2013-11-01,1428.65346359497,315
