Timestep,NormalizedN,RadiusX,RadiusY,RadiusZ,RadiusZStd,VelocityZ
98,0.9685,8.6387,8.518,8.3689,1.8755,-4.4082
99,0.967,8.6717,8.5472,8.3668,1.8414,-4.3962
100,0.967,8.7133,8.5714,8.3427,1.8272,-4.3826
101,0.967,8.7676,8.6029,8.328,1.8296,-4.3681
102,0.9665,8.8257,8.6113,8.3298,1.8215,-4.3527
103,0.966,8.8663,8.6146,8.3124,1.8088,-4.3373
104,0.966,8.8875,8.6246,8.3158,1.7829,-4.3213
105,0.966,8.9403,8.6577,8.3177,1.745,-4.3053
106,0.9655,9.0068,8.7053,8.308,1.7044,-4.2903
107,0.9655,9.0717,8.7634,8.3027,1.6759,-4.2762
108,0.965,9.1407,8.8041,8.3077,1.6574,-4.263
109,0.965,9.1866,8.838,8.3116,1.639,-4.2509
110,0.9655,9.2072,8.8863,8.2307,1.6273,-4.24
111,0.9655,9.2015,8.9472,8.1538,1.6181,-4.2306
112,0.965,9.1814,9.0052,8.0668,1.6108,-4.2229
113,0.965,9.1697,9.0504,8.0034,1.608,-4.2171
114,0.9645,9.1415,9.0719,7.9453,1.6116,-4.2139
115,0.9645,9.1014,9.0674,7.8931,1.6146,-4.2129
116,0.9645,9.051,9.049,7.8494,1.615,-4.2144
117,0.9645,8.9964,9.0371,7.8218,1.6232,-4.2179
118,0.9645,8.9452,9.0176,7.8086,1.6359,-4.2228
119,0.9645,8.9263,8.9573,7.8991,1.6499,-4.229
120,0.9645,8.9263,8.8807,7.8477,1.6627,-4.2358
121,0.9645,8.9335,8.7946,7.8029,1.6714,-4.2425
122,0.9645,8.9602,8.7078,7.7806,1.688,-4.2486
123,0.9645,8.988,8.6356,7.7759,1.7124,-4.2536
124,0.964,9.0045,8.5756,7.7841,1.7198,-4.2579
125,0.964,9.0219,8.5242,7.8017,1.7252,-4.2607
126,0.964,9.0406,8.4733,7.8257,1.736,-4.2622
127,0.964,9.0666,8.4522,7.8538,1.7443,-4.2629
128,0.964,9.0708,8.4638,7.7578,1.7579,-4.2633
129,0.964,9.0583,8.4846,7.8032,1.7681,-4.2634
130,0.964,9.0718,8.5154,7.8378,1.7718,-4.2634
131,0.964,9.0732,8.5545,7.8419,1.7826,-4.2633
132,0.9635,9.0538,8.6109,7.8168,1.775,-4.2631
133,0.9635,9.0228,8.667,7.7884,1.7628,-4.2625
134,0.9635,8.9956,8.7186,7.767,1.7524,-4.2609
135,0.9635,8.9632,8.7823,7.7514,1.7426,-4.258
136,0.9635,8.9469,8.829,7.74,1.7409,-4.2541
137,0.9635,8.9514,8.8593,7.7053,1.7368,-4.2485
138,0.9635,8.9677,8.8743,7.6641,1.7353,-4.241
139,0.9635,8.9736,8.8844,7.6171,1.7329,-4.2321
140,0.9635,8.9699,8.9013,7.5642,1.7212,-4.2225
141,0.963,8.9598,8.9102,7.5055,1.7029,-4.2124
142,0.963,8.9778,8.9318,7.4227,1.6846,-4.2013
143,0.963,9.0041,8.9699,7.3011,1.6665,-4.1896
144,0.963,9.0564,8.9967,7.137,1.6382,-4.1776
145,0.963,9.0893,9.0189,6.9453,1.6182,-4.1662
146,0.963,9.0996,9.0302,6.8819,1.6097,-4.1552
147,0.963,9.1027,9.0692,6.827,1.6016,-4.145
148,0.963,9.1038,9.1266,6.7815,1.5946,-4.1358
149,0.963,9.1015,9.1803,6.7455,1.5779,-4.1281
150,0.963,9.1193,9.2055,6.7181,1.5572,-4.1224
151,0.963,9.1444,9.2246,6.6908,1.5604,-4.1189
152,0.963,9.1695,9.2356,6.6646,1.5628,-4.1172
153,0.963,9.1704,9.2379,6.6395,1.5717,-4.1174
154,0.963,9.1608,9.2545,6.6185,1.5718,-4.119
155,0.963,9.1569,9.2907,6.6037,1.5815,-4.1214
156,0.963,9.1527,9.307,6.5934,1.5986,-4.1247
157,0.963,9.1296,9.3116,6.5869,1.6093,-4.1284
158,0.963,9.1414,9.3164,6.5846,1.6119,-4.1327
159,0.963,9.1773,9.3271,6.5878,1.6034,-4.1369
160,0.963,9.2077,9.3088,6.5989,1.5917,-4.1414
161,0.963,9.2317,9.2834,6.6261,1.5947,-4.1441
162,0.963,9.2672,9.2677,6.6891,1.604,-4.1463
163,0.963,9.3154,9.2312,6.7669,1.6225,-4.1473
164,0.963,9.3623,9.172,6.8484,1.6392,-4.1474
165,0.963,9.4162,9.1254,6.9304,1.661,-4.1467
166,0.963,9.4702,9.0777,7.017,1.6708,-4.1459
167,0.963,9.5098,9.0194,7.1217,1.6748,-4.1451
168,0.963,9.5278,8.9483,7.2441,1.6782,-4.1441
169,0.963,9.5303,8.9035,7.3811,1.6819,-4.143
170,0.963,9.5197,8.8654,7.526,1.6845,-4.1414
171,0.963,9.5082,8.8213,7.6628,1.688,-4.1393
172,0.963,9.4946,8.7759,7.7953,1.6892,-4.1369
173,0.963,9.4906,8.7564,7.8681,1.6893,-4.1342
174,0.963,9.4832,8.7544,7.9331,1.696,-4.1314
175,0.963,9.4879,8.7646,7.9888,1.7071,-4.1288
176,0.963,9.474,8.7867,8.0275,1.7146,-4.1261
177,0.9625,9.4357,8.8264,8.0506,1.7145,-4.1237
178,0.9625,9.3879,8.8577,8.0627,1.7057,-4.1214
179,0.9625,9.3594,8.8862,8.068,1.6885,-4.1194
180,0.9625,9.3292,8.9266,8.0699,1.67,-4.116
181,0.9625,9.2874,9.0023,8.0702,1.6617,-4.1128
182,0.9625,9.2463,9.0877,8.0924,1.6524,-4.1085
183,0.9625,9.2289,9.1584,8.1235,1.6396,-4.1024
184,0.9625,9.2182,9.2055,8.1641,1.6326,-4.0943
185,0.9625,9.2087,9.2431,8.2113,1.6376,-4.0846
186,0.962,9.2112,9.2898,8.226,1.6325,-4.0737
187,0.962,9.2367,9.3406,8.244,1.6236,-4.0619
188,0.962,9.2761,9.3878,8.2663,1.6081,-4.0496
189,0.962,9.3284,9.4415,8.081,1.5807,-4.0372
190,0.9615,9.3933,9.4746,7.8764,1.5563,-4.0257
191,0.9615,9.4444,9.4804,7.6993,1.5414,-4.0155
192,0.9615,9.4598,9.4825,7.5193,1.5396,-4.0077
193,0.961,9.4784,9.4918,7.3348,1.5415,-4.0029
194,0.961,9.5048,9.4977,7.1438,1.5536,-4.0012
195,0.961,9.5256,9.4987,6.9849,1.5622,-4.0027
196,0.961,9.5194,9.4857,6.8208,1.5688,-4.0065
197,0.961,9.4796,9.4834,6.6483,1.5664,-4.0126
198,0.961,9.4313,9.4674,6.6758,1.565,-4.019
199,0.961,9.3836,9.4441,6.7117,1.5654,-4.0259
200,0.961,9.3514,9.4612,6.7455,1.5566,-4.0317
201,0.961,9.3418,9.498,6.7799,1.5544,-4.0353
202,0.961,9.3368,9.5436,6.8254,1.5562,-4.0369
203,0.961,9.3355,9.5949,6.8872,1.5572,-4.0363
204,0.961,9.3387,9.6518,6.9665,1.563,-4.0337
205,0.961,9.3398,9.7059,7.0634,1.5859,-4.0297
206,0.961,9.3782,9.7273,7.1788,1.6127,-4.0247
207,0.961,9.4258,9.7355,7.314,1.6205,-4.0197
208,0.961,9.4694,9.7383,7.471,1.6194,-4.0145
209,0.961,9.5047,9.6985,7.6525,1.6104,-4.0098
210,0.961,9.5373,9.6403,7.7735,1.6009,-4.0053
211,0.961,9.5582,9.5758,7.9076,1.5932,-4.0014
212,0.961,9.5841,9.5264,8.0529,1.6,-3.9979
213,0.961,9.6296,9.4709,8.1168,1.6073,-3.9948
214,0.9605,9.6951,9.4088,8.1757,1.6019,-3.9922
215,0.9605,9.7287,9.3568,8.2314,1.5983,-3.9898
216,0.9605,9.7389,9.331,8.2124,1.6077,-3.9877
217,0.96,9.7412,9.3226,8.1791,1.6102,-3.9863
218,0.96,9.7449,9.3231,8.1312,1.6151,-3.9857
219,0.96,9.7424,9.3176,8.1482,1.6201,-3.9861
220,0.9595,9.7506,9.2992,8.1478,1.6163,-3.9872
221,0.9595,9.749,9.2567,8.1289,1.6109,-3.989
222,0.9595,9.7242,9.2175,8.1782,1.5978,-3.9911
223,0.9595,9.6999,9.1998,8.1713,1.5953,-3.9927
224,0.9595,9.6802,9.2014,8.1631,1.6007,-3.9935
