Timestep,NormalizedN,RadiusX,RadiusY,RadiusZ,RadiusZStd,VelocityZ
442,0.9415,13.008,12.207,7.8186,1.1681,-3.1424
443,0.9415,12.961,12.167,7.8123,1.1629,-3.1366
444,0.9415,12.933,12.136,7.844,1.1583,-3.1301
445,0.9415,12.927,12.119,7.8314,1.1587,-3.1235
446,0.9415,12.936,12.127,7.9921,1.162,-3.1166
447,0.9415,12.948,12.145,8.1052,1.169,-3.1096
448,0.941,12.964,12.176,8.2259,1.1667,-3.1027
449,0.9405,13,12.202,8.3845,1.1648,-3.0961
450,0.9405,13.058,12.224,8.4188,1.1785,-3.0895
451,0.9395,13.123,12.244,8.4575,1.1722,-3.0835
452,0.9395,13.154,12.249,8.4521,1.1853,-3.0774
453,0.9385,13.165,12.257,8.4665,1.1999,-3.0782
454,0.9375,13.161,12.264,8.4242,1.186,-3.0647
455,0.938,13.144,12.263,8.3846,1.2069,-3.0593
456,0.9375,13.114,12.254,8.4043,1.2164,-3.0542
457,0.937,13.072,12.259,8.378,1.2229,-3.0491
458,0.9365,13.002,12.283,8.3224,1.2265,-3.0442
459,0.9365,12.915,12.322,8.288,1.2407,-3.0394
460,0.9365,12.827,12.372,8.2542,1.2601,-3.0349
461,0.936,12.768,12.432,8.27,1.2712,-3.0304
462,0.936,12.722,12.498,8.2792,1.2924,-3.0256
463,0.935,12.681,12.571,8.3661,1.2896,-3.0207
464,0.935,12.645,12.654,8.4094,1.3001,-3.0151
465,0.935,12.62,12.745,8.3332,1.3059,-3.009
466,0.9345,12.63,12.819,8.3036,1.303,-3.0028
467,0.934,12.676,12.88,8.2752,1.3006,-2.9961
468,0.9335,12.751,12.928,8.2716,1.3023,-2.9887
469,0.933,12.839,12.966,8.268,1.3085,-2.9806
470,0.933,12.933,13.006,8.2641,1.3248,-2.9717
471,0.933,13.046,13.039,8.255,1.3458,-2.9622
472,0.932,13.179,13.061,8.2419,1.3536,-2.9527
473,0.932,13.333,13.077,8.2407,1.3741,-2.9423
474,0.932,13.507,13.092,8.3015,1.3933,-2.9316
475,0.9315,13.679,13.107,8.3669,1.4028,-2.9206
476,0.9305,13.849,13.138,8.3825,1.4041,-2.9092
477,0.9295,14.019,13.186,8.4495,1.4063,-2.8975
478,0.9285,14.205,13.252,8.4924,1.4074,-2.8853
479,0.9285,14.389,13.332,8.4251,1.4244,-2.8726
480,0.9275,14.56,13.433,8.3775,1.4261,-2.8604
481,0.927,14.717,13.554,8.3572,1.4331,-2.8479
482,0.926,14.858,13.689,8.2645,1.4334,-2.8358
483,0.925,14.992,13.834,8.2261,1.433,-2.8241
484,0.925,15.126,13.979,8.1838,1.4467,-2.8126
485,0.925,15.26,14.124,8.1909,1.4593,-2.8018
486,0.9245,15.389,14.268,8.1642,1.4644,-2.7919
487,0.9245,15.496,14.412,8.155,1.4769,-2.7826
488,0.9245,15.577,14.55,8.2377,1.4915,-2.7744
489,0.9245,15.637,14.679,8.2802,1.5076,-2.767
490,0.924,15.703,14.801,8.2899,1.5213,-2.7609
491,0.924,15.78,14.922,8.379,1.5476,-2.7553
492,0.923,15.859,15.05,8.3898,1.564,-2.7509
493,0.922,15.928,15.187,8.3998,1.5842,-2.7473
494,0.921,15.998,15.317,8.3724,1.6063,-2.7439
495,0.9205,16.071,15.436,8.4153,1.6351,-2.7404
496,0.9195,16.148,15.542,8.412,1.6591,-2.7371
497,0.9195,16.258,15.665,8.3776,1.698,-2.7336
498,0.9185,16.368,15.781,8.3501,1.7254,-2.7305
499,0.9185,16.461,15.86,8.4529,1.7649,-2.7272
500,0.9165,16.516,15.889,8.4323,1.78,-2.7248
